response_id,questionnaire_id,started_at,finished_at,duration_seconds,completed,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
R2026060311501503209300001,elder_digital_2026,2026-05-21 13:59:36,2026-05-21 14:07:55,499.1,1,above_80,male,with_spouse,college,no,,,,,,,,,ask_friends,bigger_font,3,no,resist,2,
R2026060311501503255100003,elder_digital_2026,2026-05-26 15:10:40,2026-05-26 15:17:52,431.8,1,70_79,male,with_spouse,junior,yes,gt5,none|fear_scam|font_small,yes,daily,no,,yes,4,ask_children,voice_assist|simpler,1,yes,willing,4,希望有人能教教我们
R2026060311501503301000005,elder_digital_2026,2026-05-31 11:49:03,2026-05-31 11:52:39,216.2,1,above_80,female,with_children,primary,yes,lt1,none|misclick,yes,daily,no,,no,1,self_explore,simpler|bigger_font|anti_scam,5,yes,eager,1,语音功能很需要
R2026060311501503344300007,elder_digital_2026,2026-05-31 22:42:32,2026-05-31 22:45:11,159.5,1,below_60,female,with_children,senior,no,,,,,,,,,give_up,voice_assist|human_help|bigger_font,2,no,willing,5,挺好的没什么意见
R2026060311501503387900009,elder_digital_2026,2026-05-30 22:31:41,2026-05-30 22:38:14,392.6,1,above_80,female,alone,college,no,,,,,,,,,give_up,simpler|voice_assist|bigger_font,5,no,eager,0,操作能再简单点就好
R2026060311501503434700011,elder_digital_2026,2026-05-23 10:18:45,2026-05-23 10:23:16,270.8,1,above_80,male,institution,college,yes,lt1,too_complex|font_small|forget_steps,yes,rarely,yes,2,no,5,self_explore,voice_assist|simpler,4,no,willing,0,希望字体更大一些
R2026060311501503475800013,elder_digital_2026,2026-05-24 22:08:08,2026-05-24 22:12:00,231.5,1,above_80,male,with_children,junior,no,,,,,,,,,ask_friends,voice_assist|anti_scam,1,no,eager,5,操作能再简单点就好
R2026060311501503521700015,elder_digital_2026,2026-05-29 08:23:41,2026-05-29 08:26:56,195.4,1,60_69,female,with_spouse,college,yes,3_5,misclick,yes,daily,no,,yes,3,give_up,bigger_font|voice_assist|human_help,4,yes,willing,5,
R2026060311501503578100017,elder_digital_2026,2026-05-29 14:06:03,2026-05-29 14:08:52,168.6,0,above_80,male,with_children,junior,yes,gt5,forget_steps|misclick|none,yes,daily,no,,yes,5,give_up,voice_assist|anti_scam|human_help,4,no,reluctant,5,语音功能很需要
R2026060311501503637800019,elder_digital_2026,2026-05-29 12:14:24,2026-05-29 12:19:22,298.4,1,60_69,male,with_spouse,junior,yes,gt5,none|forget_steps|too_complex,no,often,no,,no,3,give_up,voice_assist|anti_scam|bigger_font,2,yes,resist,2,
