2026-06-03 11:09:17 | INFO    | self-check | ===== 开始自检 =====
2026-06-03 11:09:17 | INFO    | self-check | Python 版本：3.13.9 ✓
2026-06-03 11:09:17 | INFO    | self-check | 配置加载：ElderAI Survey Platform ✓
2026-06-03 11:09:17 | INFO    | self-check | 目录就绪：exports ✓
2026-06-03 11:09:17 | INFO    | self-check | 目录就绪：backup ✓
2026-06-03 11:09:17 | INFO    | self-check | 目录就绪：logs ✓
2026-06-03 11:09:17 | INFO    | self-check | 问卷加载：《老年人智能技术使用情况调查问卷》共 20 题 ✓
2026-06-03 11:09:17 | INFO    | self-check | tkinter 可用 ✓
2026-06-03 11:09:19 | INFO    | numexpr.utils | NumExpr defaulting to 10 threads.
2026-06-03 11:09:19 | INFO    | self-check | 可选依赖 pandas     可用 ✓（数据分析）
2026-06-03 11:09:19 | INFO    | self-check | 可选依赖 numpy      可用 ✓（数值计算）
2026-06-03 11:09:20 | INFO    | self-check | 可选依赖 matplotlib 可用 ✓（图表）
2026-06-03 11:09:20 | INFO    | self-check | 可选依赖 openpyxl   可用 ✓（Excel导出）
2026-06-03 11:09:20 | WARNING | self-check | 可选依赖 reportlab  缺失（PDF导出 将降级或不可用）
2026-06-03 11:09:20 | INFO    | self-check | 可选依赖 docx       可用 ✓（Word导出）
2026-06-03 11:09:20 | WARNING | self-check | 可选依赖 pyttsx3    缺失（离线语音 将降级或不可用）
2026-06-03 11:09:20 | INFO    | self-check | 可选依赖 requests   可用 ✓（联网AI）
2026-06-03 11:09:20 | INFO    | self-check | ===== 自检结束：全部通过 =====
2026-06-03 11:50:15 | INFO    | questionnaire_engine | 已加载问卷：老年人智能技术使用情况调查问卷（20 题）
2026-06-03 11:50:15 | INFO    | data_manager | 已备份到 /Users/karcenzheng/Downloads/elder_ai_survey/backup/backup_20260603_115015
2026-06-03 11:50:15 | WARNING | data_manager | 已清空全部答卷（已备份）。
2026-06-03 11:50:15 | INFO    | data_manager | 已保存答卷 R2026060311501503209300001（db=True csv=True）
2026-06-03 11:50:15 | INFO    | data_manager | 已保存答卷 R2026060311501503255100003（db=True csv=True）
2026-06-03 11:50:15 | INFO    | data_manager | 已保存答卷 R2026060311501503301000005（db=True csv=True）
2026-06-03 11:50:15 | INFO    | data_manager | 已保存答卷 R2026060311501503344300007（db=True csv=True）
