response_id,questionnaire_id,started_at,finished_at,duration_seconds,completed,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
R2026061309512867635900001,elder_digital_2026,2026-06-07 07:31:20,2026-06-07 07:36:57,337.0,1,above_80,male,alone,primary,yes,gt5,font_small,yes,often,no,,yes,4,give_up,anti_scam|human_help|voice_assist,1,yes,willing,1,希望有人能教教我们
R2026061309512867691500003,elder_digital_2026,2026-06-12 05:58:59,2026-06-12 06:01:01,122.1,1,below_60,male,institution,junior,no,,,,,,,,,give_up,simpler,3,yes,resist,5,语音功能很需要
R2026061309512867742400005,elder_digital_2026,2026-06-04 03:38:08,2026-06-04 03:41:49,220.6,1,above_80,female,with_spouse,senior,yes,gt5,fear_scam|font_small,yes,daily,yes,1,yes,3,ask_friends,human_help|simpler,4,no,eager,1,希望字体更大一些
R2026061309512867789800007,elder_digital_2026,2026-06-12 02:51:45,2026-06-12 02:54:36,171.2,1,70_79,male,with_children,senior,yes,3_5,forget_steps|font_small,yes,never,yes,1,no,4,ask_friends,simpler|bigger_font|human_help,2,no,reluctant,1,希望有人能教教我们
R2026061309512867835500009,elder_digital_2026,2026-06-11 00:39:56,2026-06-11 00:43:18,201.9,0,70_79,female,alone,primary,no,,,,,,,,,give_up,voice_assist|bigger_font|simpler,4,yes,willing,0,希望有人能教教我们
R2026061309512867880100011,elder_digital_2026,2026-06-02 03:05:12,2026-06-02 03:11:49,397.4,1,60_69,male,alone,junior,no,,,,,,,,,ask_children,human_help,2,no,resist,3,挺好的没什么意见
R2026061309512867929800013,elder_digital_2026,2026-06-09 08:29:59,2026-06-09 08:35:32,332.7,1,60_69,female,alone,senior,yes,lt1,too_complex|none|misclick,no,daily,no,,yes,4,ask_children,voice_assist|anti_scam,2,yes,resist,2,担心被骗
R2026061309512867979500015,elder_digital_2026,2026-06-03 00:39:56,2026-06-03 00:42:43,167.2,0,above_80,male,with_children,primary,no,,,,,,,,,self_explore,anti_scam|simpler,4,yes,willing,0,
R2026061309512868025500017,elder_digital_2026,2026-06-11 13:49:11,2026-06-11 13:51:42,150.1,1,above_80,female,with_spouse,primary,no,,,,,,,,,ask_children,voice_assist|human_help|simpler,2,no,reluctant,2,希望有人能教教我们
R2026061309512868073700019,elder_digital_2026,2026-06-11 00:28:34,2026-06-11 00:30:35,120.9,1,above_80,female,with_spouse,college,yes,gt5,forget_steps,no,never,no,,yes,4,give_up,anti_scam|human_help|bigger_font,2,no,willing,5,语音功能很需要
R2026061309512868121100021,elder_digital_2026,2026-06-01 12:00:25,2026-06-01 12:06:00,335.4,1,70_79,female,institution,senior,no,,,,,,,,,give_up,anti_scam|bigger_font,4,no,eager,0,
R2026061309512868176000023,elder_digital_2026,2026-06-08 07:41:34,2026-06-08 07:46:23,289.1,1,70_79,male,with_children,junior,yes,gt5,forget_steps,no,never,yes,3,yes,5,ask_friends,anti_scam|voice_assist,2,yes,eager,1,操作能再简单点就好
R2026061309512868227800025,elder_digital_2026,2026-06-01 04:05:32,2026-06-01 04:15:10,578.9,1,60_69,female,alone,primary,yes,gt5,misclick,no,daily,no,,no,5,self_explore,voice_assist,3,yes,eager,2,担心被骗
R2026061309512868280700027,elder_digital_2026,2026-05-31 00:17:17,2026-05-31 00:20:36,198.6,1,above_80,female,alone,college,yes,lt1,too_complex|fear_scam,no,daily,yes,2,no,4,self_explore,voice_assist|bigger_font,2,yes,eager,3,
